"phone_expensive" , "iFruit 37PlusQ" , "Electronics" , 8999.99 , 2
"phone_cheap" , "Nooika Unkillable" , "Electronics" , 20.17 , 15
"nailpolish_red" , "Red Nail Polish" , "Cosmetics" ,  3.25, 5
"nailpolish_green" , "Green Nail Polish" , "Cosmetics" , 3.25, 3
"nailpolish_blue" , "Blue Nail Polish" , "Cosmetics" , 3.25, 6
"catfood" , "Minmo Cat Food" , "Pets" , 7.84 , 6
"dogfood" , "Fido Dog Food" , "Pets" , 6.75 , 4
"videogame_67" , "Falldown 67","Games" , 59.99 , 13
"videogame_twoweeks" , "Two Weeks: Battle Royale" ,"Games" , 49.99 , 50
"videogame_peacecraft" , "World of Peacecraft" , "Games" , 49.99 , 24
